"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.287732720E0;6.517069936E-1;9.605100155E-1;3.876224995E0
1.292524799E0;7.712519765E-1;7.314590216E-1;4.022046089E0
1.297317028E0;8.332269788E-1;5.055710077E-1;4.120443821E0
1.302109107E0;7.583860159E-1;1.748050004E-1;4.188269138E0
1.306901335E0;1.013023973E0;1.411949992E-1;4.211215973E0
1.311693409E0;1.027966022E0;1.674070060E-1;4.129509926E0
1.316485638E0;1.000398993E0;1.335739940E-1;3.919265985E0
1.321277717E0;6.939079762E-1;-6.326100230E-2;3.714570999E0
1.326069946E0;3.828830123E-1;-3.440090120E-1;3.398092031E0
1.330862025E0;2.315489948E-1;-4.186950028E-1;3.041593075E0
1.335654025E0;4.357400164E-2;-4.355080128E-1;2.642623901E0
1.340446240E0;-1.112210006E-1;-4.792929888E-1;2.094727039E0
1.345238547E0;-3.207379878E-1;-5.009409785E-1;1.688671947E0
1.350030539E0;-4.209870100E-1;-6.648659706E-1;1.302121997E0
1.354822616E0;-5.288879871E-1;-7.583060265E-1;5.401319861E-1
1.359614845E0;-8.431760073E-1;-5.478749871E-1;-3.574860096E-1
1.364406895E0;-1.000622034E0;-5.768200159E-1;-1.960299909E-2
1.369199124E0;-1.027920961E0;-7.450150251E-1;-6.105110049E-1
1.373991203E0;-1.114560008E0;-7.165300250E-1;-1.849553943E0
1.378783417E0;-1.213646054E0;-6.825879812E-1;-1.661741018E0
1.383575496E0;-1.193132997E0;-8.184649944E-1;-1.943140984E0
1.388367715E0;-1.142341971E0;-1.025334001E0;-2.452179909E0
1.393159794E0;-1.156203032E0;-1.125545025E0;-2.714951992E0
1.397952023E0;-1.105376005E0;-1.200284958E0;-3.148150921E0
1.402744102E0;-1.134860039E0;-1.192047954E0;-3.790121078E0
1.407536331E0;-1.280709028E0;-1.183920026E0;-3.147077084E0
1.412328409E0;-1.214594960E0;-1.341223001E0;-3.764103889E0
1.417120438E0;-1.348886967E0;-1.287932992E0;-3.869501114E0
1.421912744E0;-1.465746045E0;-1.193946004E0;-3.887103081E0
1.426704746E0;-1.479256988E0;-1.212450027E0;-3.816931009E0
1.431496975E0;-1.511623979E0;-1.257172942E0;-3.699724913E0
1.436289054E0;-1.562934995E0;-1.323421955E0;-3.557005882E0
1.441081283E0;-1.585379958E0;-1.337175012E0;-3.419831991E0
1.445873362E0;-1.705747008E0;-1.286615014E0;-3.288151026E0
1.450665585E0;-1.782780051E0;-1.191074967E0;-3.078109026E0
1.455457664E0;-1.811941028E0;-1.139178038E0;-2.935734034E0
1.460249893E0;-1.853049040E0;-1.037598014E0;-2.880162954E0
1.465041972E0;-1.939216018E0;-8.813520074E-1;-2.822875977E0
1.469834201E0;-1.915294051E0;-9.050239921E-1;-2.194041967E0
1.474626203E0;-1.775460958E0;-9.092389941E-1;-1.968498945E0
1.479418509E0;-1.742205024E0;-7.928119898E-1;-1.834211946E0
1.484210511E0;-1.816503048E0;-6.969889998E-1;-1.630784988E0
1.489002587E0;-1.728070974E0;-7.032089829E-1;-1.442002058E0
1.493794816E0;-1.623056054E0;-7.087759972E-1;-1.157632947E0
1.498586895E0;-1.522956014E0;-7.282329798E-1;-1.026618958E0
1.503379124E0;-1.408602953E0;-6.972399950E-1;-7.304229736E-1
1.508171218E0;-1.220484018E0;-7.405179739E-1;-6.592289805E-1
1.512963447E0;-1.163719058E0;-7.456309795E-1;-4.993770123E-1
1.517755526E0;-1.109145999E0;-7.061259747E-1;-4.469540119E-1
1.522547753E0;-1.104843020E0;-6.887009740E-1;-3.296889961E-1
1.527339832E0;-1.103250027E0;-6.217340231E-1;-1.953990012E-1
1.532132061E0;-1.011894941E0;-4.794099927E-1;-8.460800350E-2
1.536924155E0;-8.550469875E-1;-5.915809870E-1;-1.531230062E-1
1.541716384E0;-6.839029789E-1;-5.800099969E-1;2.192080021E-1
1.546508463E0;-4.998680055E-1;-5.266039968E-1;6.527700275E-2
1.551300697E0;-2.635399997E-1;-4.653230011E-1;-1.503050029E-1
1.556092776E0;-4.377600178E-2;-4.603340030E-1;-3.079819977E-1
1.560884776E0;5.967300013E-2;-3.823460042E-1;-4.029760063E-1
1.565677004E0;1.164230034E-1;-3.413810134E-1;-6.579930186E-1
1.570469083E0;2.297880054E-1;-3.059549928E-1;-7.451279759E-1
1.575261312E0;2.255419940E-1;-2.521249950E-1;-8.774859905E-1
1.580053405E0;2.404090017E-1;-1.875019968E-1;-1.165081978E0
1.584845634E0;2.534070015E-1;-1.190709993E-1;-1.306310058E0
1.589637713E0;2.738530040E-1;-5.616199970E-2;-1.406591058E0
1.594429955E0;3.229199946E-1;1.278999960E-3;-1.576071024E0
1.599222034E0;3.697830141E-1;1.152700037E-1;-1.733278990E0
1.604014263E0;4.194700122E-1;1.498890072E-1;-1.914307952E0
1.608806342E0;3.579359949E-1;1.701299995E-1;-2.076203108E0
1.613598571E0;2.097979933E-1;2.646149993E-1;-2.111268997E0
1.618390650E0;5.630699918E-2;3.711040020E-1;-2.067392111E0
1.623182879E0;-2.932499908E-2;4.278819859E-1;-2.004558086E0
1.627974881E0;-2.026380002E-1;5.065850019E-1;-1.972995043E0
1.632766956E0;-3.318650126E-1;5.976139903E-1;-1.788347006E0
1.637559162E0;-3.937189877E-1;6.266880035E-1;-1.649289012E0
1.642351241E0;-4.460209906E-1;7.101870179E-1;-1.811707020E0
1.647143470E0;-4.472300112E-1;7.362689972E-1;-1.818541050E0
1.651935554E0;-5.770469904E-1;8.690509796E-1;-1.038099051E0
1.656727783E0;-3.885940015E-1;8.550689816E-1;-1.140807986E0
1.661519862E0;-2.897390127E-1;7.352970243E-1;-1.468387961E0
1.666312090E0;-2.670359910E-1;7.330060005E-1;-1.408156991E0
1.671104169E0;-1.674830019E-1;7.845550179E-1;-1.855141044E0
1.675896398E0;-1.693760008E-1;8.786290288E-1;-9.044939876E-1
1.680688491E0;3.923099861E-2;8.861320019E-1;-1.031018972E0
1.685480720E0;9.358400106E-2;8.404129744E-1;-1.360828996E0
1.690272722E0;1.157639995E-1;8.676139712E-1;-1.939303041E0
1.695064797E0;6.217699870E-2;1.004374027E0;-1.043622971E0
1.699857028E0;2.520770133E-1;1.033745050E0;-8.519300222E-1
1.704649107E0;2.515319884E-1;1.005630970E0;-8.205689788E-1
1.709441335E0;3.047710061E-1;9.438440204E-1;-1.090764046E0
1.714233414E0;1.634829938E-1;1.085165024E0;-1.104740977E0
1.719025643E0;1.775860041E-1;1.206375003E0;-1.377122998E0
1.723817722E0;1.194790006E-1;1.322352052E0;-3.716709912E-1
1.728609951E0;2.128839940E-1;1.311265945E0;-5.392659903E-1
1.733402030E0;1.200810000E-1;1.235787988E0;-4.938809872E-1
1.738194016E0;1.505999942E-3;1.244364977E0;-3.240990043E-1
1.742986244E0;-9.711399674E-2;1.243548989E0;-9.456499666E-2
